AgeGroup,Gender,WeightKg,Heightm,ActivityDayName,TotalMinutesAsleep,SedentaryMinutes,TotalActiveMinutes,TotalDistancekm,CaloriesBurnt,TotalSteps
35-44,Male,51.14495950705607,1.774361660936259,Tuesday,458,1112,328,7.490000188350686,2124,10725
65+,Male,74.5716880103875,1.5042680572215912,Tuesday,327,964,361,6.819999814033512,2344,10113
65+,Male,74.5716880103875,1.5042680572215912,Tuesday,750,964,361,6.819999814033512,2344,10113
25-34,Female,74.5716880103875,1.5042680572215912,Tuesday,503,964,361,6.819999814033512,2344,10113
18-24,Female,74.5716880103875,1.5042680572215912,Tuesday,274,964,361,6.819999814033512,2344,10113
45-54,Female,74.5716880103875,1.5042680572215912,Tuesday,501,964,361,6.819999814033512,2344,10113
65+,Male,74.5716880103875,1.5042680572215912,Tuesday,429,964,361,6.819999814033512,2344,10113
35-44,Female,74.5716880103875,1.5042680572215912,Tuesday,425,964,361,6.819999814033512,2344,10113
65+,Female,74.5716880103875,1.5042680572215912,Tuesday,441,964,361,6.819999814033512,2344,10113
45-54,Male,74.5716880103875,1.5042680572215912,Tuesday,419,964,361,6.819999814033512,2344,10113
45-54,Female,74.5716880103875,1.5042680572215912,Tuesday,366,964,361,6.819999814033512,2344,10113
65+,Male,74.5716880103875,1.5042680572215912,Tuesday,514,964,361,6.819999814033512,2344,10113
65+,Female,74.5716880103875,1.5042680572215912,Tuesday,338,964,361,6.819999814033512,2344,10113
45-54,Female,74.5716880103875,1.5042680572215912,Tuesday,458,964,361,6.819999814033512,2344,10113
55-64,Female,99.94295295808966,1.8179612901767863,Tuesday,327,1061,379,5.920000120997431,1982,8796
18-24,Female,99.94295295808966,1.8179612901767863,Tuesday,750,1061,379,5.920000120997431,1982,8796
55-64,Male,99.94295295808966,1.8179612901767863,Tuesday,503,1061,379,5.920000120997431,1982,8796
25-34,Female,99.94295295808966,1.8179612901767863,Tuesday,274,1061,379,5.920000120997431,1982,8796
35-44,Male,99.94295295808966,1.8179612901767863,Tuesday,501,1061,379,5.920000120997431,1982,8796
45-54,Female,99.94295295808966,1.8179612901767863,Tuesday,429,1061,379,5.920000120997431,1982,8796
55-64,Female,99.94295295808966,1.8179612901767863,Tuesday,425,1061,379,5.920000120997431,1982,8796
45-54,Male,99.94295295808966,1.8179612901767863,Tuesday,441,1061,379,5.920000120997431,1982,8796
45-54,Female,99.94295295808966,1.8179612901767863,Tuesday,419,1061,379,5.920000120997431,1982,8796
55-64,Female,99.94295295808966,1.8179612901767863,Tuesday,366,1061,379,5.920000120997431,1982,8796
65+,Female,99.94295295808966,1.8179612901767863,Tuesday,514,1061,379,5.920000120997431,1982,8796
18-24,Female,99.94295295808966,1.8179612901767863,Tuesday,338,1061,379,5.920000120997431,1982,8796
45-54,Male,99.94295295808966,1.8179612901767863,Tuesday,458,1061,379,5.920000120997431,1982,8796
45-54,Female,57.50518449109041,1.9073283854393672,Tuesday,327,1160,280,3.23000001907349,1788,4747
65+,Male,57.50518449109041,1.9073283854393672,Tuesday,750,1160,280,3.23000001907349,1788,4747
18-24,Female,57.50518449109041,1.9073283854393672,Tuesday,503,1160,280,3.23000001907349,1788,4747
35-44,Female,57.50518449109041,1.9073283854393672,Tuesday,274,1160,280,3.23000001907349,1788,4747
65+,Female,57.50518449109041,1.9073283854393672,Tuesday,501,1160,280,3.23000001907349,1788,4747
55-64,Female,57.50518449109041,1.9073283854393672,Tuesday,429,1160,280,3.23000001907349,1788,4747
65+,Male,57.50518449109041,1.9073283854393672,Tuesday,425,1160,280,3.23000001907349,1788,4747
35-44,Male,57.50518449109041,1.9073283854393672,Tuesday,441,1160,280,3.23000001907349,1788,4747
55-64,Female,57.50518449109041,1.9073283854393672,Tuesday,419,1160,280,3.23000001907349,1788,4747
35-44,Male,57.50518449109041,1.9073283854393672,Tuesday,366,1160,280,3.23000001907349,1788,4747
65+,Male,57.50518449109041,1.9073283854393672,Tuesday,514,1160,280,3.23000001907349,1788,4747
45-54,Male,57.50518449109041,1.9073283854393672,Tuesday,338,1160,280,3.23000001907349,1788,4747
55-64,Female,57.50518449109041,1.9073283854393672,Tuesday,458,1160,280,3.23000001907349,1788,4747
65+,Female,81.49765491437856,1.9479047416017703,Tuesday,327,777,194,5.979999959468844,1450,8856
55-64,Male,81.49765491437856,1.9479047416017703,Tuesday,750,777,194,5.979999959468844,1450,8856
18-24,Female,81.49765491437856,1.9479047416017703,Tuesday,503,777,194,5.979999959468844,1450,8856
55-64,Female,81.49765491437856,1.9479047416017703,Tuesday,274,777,194,5.979999959468844,1450,8856
65+,Male,81.49765491437856,1.9479047416017703,Tuesday,501,777,194,5.979999959468844,1450,8856
35-44,Male,81.49765491437856,1.9479047416017703,Tuesday,429,777,194,5.979999959468844,1450,8856
18-24,Female,81.49765491437856,1.9479047416017703,Tuesday,425,777,194,5.979999959468844,1450,8856
45-54,Female,81.49765491437856,1.9479047416017703,Tuesday,441,777,194,5.979999959468844,1450,8856
25-34,Male,81.49765491437856,1.9479047416017703,Tuesday,419,777,194,5.979999959468844,1450,8856
35-44,Female,81.49765491437856,1.9479047416017703,Tuesday,366,777,194,5.979999959468844,1450,8856
35-44,Male,81.49765491437856,1.9479047416017703,Tuesday,514,777,194,5.979999959468844,1450,8856
18-24,Male,81.49765491437856,1.9479047416017703,Tuesday,338,777,194,5.979999959468844,1450,8856
45-54,Male,81.49765491437856,1.9479047416017703,Tuesday,458,777,194,5.979999959468844,1450,8856
18-24,Female,112.42491355932933,1.635294781880951,Tuesday,327,712,350,6.069999828934666,3654,8539
35-44,Male,112.42491355932933,1.635294781880951,Tuesday,750,712,350,6.069999828934666,3654,8539
35-44,Female,112.42491355932933,1.635294781880951,Tuesday,503,712,350,6.069999828934666,3654,8539
55-64,Male,112.42491355932933,1.635294781880951,Tuesday,274,712,350,6.069999828934666,3654,8539
35-44,Female,112.42491355932933,1.635294781880951,Tuesday,501,712,350,6.069999828934666,3654,8539
25-34,Female,112.42491355932933,1.635294781880951,Tuesday,429,712,350,6.069999828934666,3654,8539
35-44,Male,112.42491355932933,1.635294781880951,Tuesday,425,712,350,6.069999828934666,3654,8539
55-64,Male,112.42491355932933,1.635294781880951,Tuesday,441,712,350,6.069999828934666,3654,8539
25-34,Male,112.42491355932933,1.635294781880951,Tuesday,419,712,350,6.069999828934666,3654,8539
55-64,Female,112.42491355932933,1.635294781880951,Tuesday,366,712,350,6.069999828934666,3654,8539
18-24,Female,112.42491355932933,1.635294781880951,Tuesday,514,712,350,6.069999828934666,3654,8539
65+,Male,112.42491355932933,1.635294781880951,Tuesday,338,712,350,6.069999828934666,3654,8539
65+,Male,112.42491355932933,1.635294781880951,Tuesday,458,712,350,6.069999828934666,3654,8539
35-44,Male,115.98908843202308,1.7294035262168164,Tuesday,327,1276,164,3.94000005722046,2286,5394
18-24,Male,115.98908843202308,1.7294035262168164,Tuesday,750,1276,164,3.94000005722046,2286,5394
45-54,Male,115.98908843202308,1.7294035262168164,Tuesday,503,1276,164,3.94000005722046,2286,5394
55-64,Female,115.98908843202308,1.7294035262168164,Tuesday,274,1276,164,3.94000005722046,2286,5394
35-44,Male,115.98908843202308,1.7294035262168164,Tuesday,501,1276,164,3.94000005722046,2286,5394
55-64,Male,115.98908843202308,1.7294035262168164,Tuesday,429,1276,164,3.94000005722046,2286,5394
35-44,Female,115.98908843202308,1.7294035262168164,Tuesday,425,1276,164,3.94000005722046,2286,5394
25-34,Female,115.98908843202308,1.7294035262168164,Tuesday,441,1276,164,3.94000005722046,2286,5394
65+,Male,115.98908843202308,1.7294035262168164,Tuesday,419,1276,164,3.94000005722046,2286,5394
25-34,Male,115.98908843202308,1.7294035262168164,Tuesday,366,1276,164,3.94000005722046,2286,5394
35-44,Female,115.98908843202308,1.7294035262168164,Tuesday,514,1276,164,3.94000005722046,2286,5394
35-44,Male,115.98908843202308,1.7294035262168164,Tuesday,338,1276,164,3.94000005722046,2286,5394
65+,Female,115.98908843202308,1.7294035262168164,Tuesday,458,1276,164,3.94000005722046,2286,5394
45-54,Female,115.23777535226668,1.6218545826836257,Tuesday,327,1440,0,0.0,2115,7753
45-54,Male,115.23777535226668,1.6218545826836257,Tuesday,750,1440,0,0.0,2115,7753
18-24,Male,115.23777535226668,1.6218545826836257,Tuesday,503,1440,0,0.0,2115,7753
55-64,Male,115.23777535226668,1.6218545826836257,Tuesday,274,1440,0,0.0,2115,7753
45-54,Male,115.23777535226668,1.6218545826836257,Tuesday,501,1440,0,0.0,2115,7753
35-44,Female,115.23777535226668,1.6218545826836257,Tuesday,429,1440,0,0.0,2115,7753
35-44,Female,115.23777535226668,1.6218545826836257,Tuesday,425,1440,0,0.0,2115,7753
25-34,Male,115.23777535226668,1.6218545826836257,Tuesday,441,1440,0,0.0,2115,7753
35-44,Female,115.23777535226668,1.6218545826836257,Tuesday,419,1440,0,0.0,2115,7753
55-64,Female,115.23777535226668,1.6218545826836257,Tuesday,366,1440,0,0.0,2115,7753
25-34,Male,115.23777535226668,1.6218545826836257,Tuesday,514,1440,0,0.0,2115,7753
18-24,Male,115.23777535226668,1.6218545826836257,Tuesday,338,1440,0,0.0,2115,7753
65+,Female,115.23777535226668,1.6218545826836257,Tuesday,458,1440,0,0.0,2115,7753
55-64,Male,101.43512217782036,1.6739678763924568,Tuesday,327,1440,0,0.0,2955,10122
25-34,Female,101.43512217782036,1.6739678763924568,Tuesday,750,1440,0,0.0,2955,10122
55-64,Male,101.43512217782036,1.6739678763924568,Tuesday,503,1440,0,0.0,2955,10122
18-24,Male,101.43512217782036,1.6739678763924568,Tuesday,274,1440,0,0.0,2955,10122
35-44,Male,101.43512217782036,1.6739678763924568,Tuesday,501,1440,0,0.0,2955,10122
18-24,Male,101.43512217782036,1.6739678763924568,Tuesday,429,1440,0,0.0,2955,10122
65+,Male,101.43512217782036,1.6739678763924568,Tuesday,425,1440,0,0.0,2955,10122
25-34,Male,101.43512217782036,1.6739678763924568,Tuesday,441,1440,0,0.0,2955,10122
25-34,Male,101.43512217782036,1.6739678763924568,Tuesday,419,1440,0,0.0,2955,10122
45-54,Male,101.43512217782036,1.6739678763924568,Tuesday,366,1440,0,0.0,2955,10122
65+,Male,101.43512217782036,1.6739678763924568,Tuesday,514,1440,0,0.0,2955,10122
55-64,Female,101.43512217782036,1.6739678763924568,Tuesday,338,1440,0,0.0,2955,10122
65+,Male,101.43512217782036,1.6739678763924568,Tuesday,458,1440,0,0.0,2955,10122
65+,Female,52.88570824046879,1.8278885229287405,Tuesday,327,787,196,2.20000004768372,2113,3276
25-34,Female,52.88570824046879,1.8278885229287405,Tuesday,750,787,196,2.20000004768372,2113,3276
45-54,Male,52.88570824046879,1.8278885229287405,Tuesday,503,787,196,2.20000004768372,2113,3276
25-34,Male,52.88570824046879,1.8278885229287405,Tuesday,274,787,196,2.20000004768372,2113,3276
55-64,Female,52.88570824046879,1.8278885229287405,Tuesday,501,787,196,2.20000004768372,2113,3276
35-44,Female,52.88570824046879,1.8278885229287405,Tuesday,429,787,196,2.20000004768372,2113,3276
35-44,Female,52.88570824046879,1.8278885229287405,Tuesday,425,787,196,2.20000004768372,2113,3276
65+,Male,52.88570824046879,1.8278885229287405,Tuesday,441,787,196,2.20000004768372,2113,3276
65+,Female,52.88570824046879,1.8278885229287405,Tuesday,419,787,196,2.20000004768372,2113,3276
55-64,Female,52.88570824046879,1.8278885229287405,Tuesday,366,787,196,2.20000004768372,2113,3276
35-44,Female,52.88570824046879,1.8278885229287405,Tuesday,514,787,196,2.20000004768372,2113,3276
25-34,Male,52.88570824046879,1.8278885229287405,Tuesday,338,787,196,2.20000004768372,2113,3276
18-24,Male,52.88570824046879,1.8278885229287405,Tuesday,458,787,196,2.20000004768372,2113,3276
18-24,Male,80.70058056887382,1.611434879898848,Tuesday,327,1122,318,3.39000010490417,1909,5135
55-64,Female,80.70058056887382,1.611434879898848,Tuesday,750,1122,318,3.39000010490417,1909,5135
55-64,Female,80.70058056887382,1.611434879898848,Tuesday,503,1122,318,3.39000010490417,1909,5135
18-24,Male,80.70058056887382,1.611434879898848,Tuesday,274,1122,318,3.39000010490417,1909,5135
25-34,Male,80.70058056887382,1.611434879898848,Tuesday,501,1122,318,3.39000010490417,1909,5135
65+,Female,80.70058056887382,1.611434879898848,Tuesday,429,1122,318,3.39000010490417,1909,5135
45-54,Female,80.70058056887382,1.611434879898848,Tuesday,425,1122,318,3.39000010490417,1909,5135
18-24,Male,80.70058056887382,1.611434879898848,Tuesday,441,1122,318,3.39000010490417,1909,5135
25-34,Female,80.70058056887382,1.611434879898848,Tuesday,419,1122,318,3.39000010490417,1909,5135
25-34,Male,80.70058056887382,1.611434879898848,Tuesday,366,1122,318,3.39000010490417,1909,5135
55-64,Male,80.70058056887382,1.611434879898848,Tuesday,514,1122,318,3.39000010490417,1909,5135
65+,Female,80.70058056887382,1.611434879898848,Tuesday,338,1122,318,3.39000010490417,1909,5135
35-44,Female,80.70058056887382,1.611434879898848,Tuesday,458,1122,318,3.39000010490417,1909,5135
35-44,Male,57.10201446977191,1.873740991325533,Tuesday,327,718,263,5.84999990463257,2947,7213
25-34,Female,57.10201446977191,1.873740991325533,Tuesday,750,718,263,5.84999990463257,2947,7213
55-64,Female,57.10201446977191,1.873740991325533,Tuesday,503,718,263,5.84999990463257,2947,7213
18-24,Female,57.10201446977191,1.873740991325533,Tuesday,274,718,263,5.84999990463257,2947,7213
55-64,Female,57.10201446977191,1.873740991325533,Tuesday,501,718,263,5.84999990463257,2947,7213
45-54,Male,57.10201446977191,1.873740991325533,Tuesday,429,718,263,5.84999990463257,2947,7213
25-34,Female,57.10201446977191,1.873740991325533,Tuesday,425,718,263,5.84999990463257,2947,7213
18-24,Male,57.10201446977191,1.873740991325533,Tuesday,441,718,263,5.84999990463257,2947,7213
65+,Female,57.10201446977191,1.873740991325533,Tuesday,419,718,263,5.84999990463257,2947,7213
35-44,Male,57.10201446977191,1.873740991325533,Tuesday,366,718,263,5.84999990463257,2947,7213
45-54,Female,57.10201446977191,1.873740991325533,Tuesday,514,718,263,5.84999990463257,2947,7213
25-34,Female,57.10201446977191,1.873740991325533,Tuesday,338,718,263,5.84999990463257,2947,7213
18-24,Male,57.10201446977191,1.873740991325533,Tuesday,458,718,263,5.84999990463257,2947,7213
25-34,Female,101.02214312382816,1.5911002560566516,Tuesday,327,767,309,7.569999873638152,2026,11596
65+,Male,101.02214312382816,1.5911002560566516,Tuesday,750,767,309,7.569999873638152,2026,11596
25-34,Male,101.02214312382816,1.5911002560566516,Tuesday,503,767,309,7.569999873638152,2026,11596
45-54,Female,101.02214312382816,1.5911002560566516,Tuesday,274,767,309,7.569999873638152,2026,11596
45-54,Female,101.02214312382816,1.5911002560566516,Tuesday,501,767,309,7.569999873638152,2026,11596
25-34,Female,101.02214312382816,1.5911002560566516,Tuesday,429,767,309,7.569999873638152,2026,11596
18-24,Male,101.02214312382816,1.5911002560566516,Tuesday,425,767,309,7.569999873638152,2026,11596
55-64,Female,101.02214312382816,1.5911002560566516,Tuesday,441,767,309,7.569999873638152,2026,11596
18-24,Male,101.02214312382816,1.5911002560566516,Tuesday,419,767,309,7.569999873638152,2026,11596
18-24,Male,101.02214312382816,1.5911002560566516,Tuesday,366,767,309,7.569999873638152,2026,11596
25-34,Female,101.02214312382816,1.5911002560566516,Tuesday,514,767,309,7.569999873638152,2026,11596
35-44,Female,101.02214312382816,1.5911002560566516,Tuesday,338,767,309,7.569999873638152,2026,11596
65+,Male,101.02214312382816,1.5911002560566516,Tuesday,458,767,309,7.569999873638152,2026,11596
65+,Female,97.92901487099704,1.719186809817256,Tuesday,327,728,242,6.079999804496769,3405,8135
18-24,Female,97.92901487099704,1.719186809817256,Tuesday,750,728,242,6.079999804496769,3405,8135
65+,Female,97.92901487099704,1.719186809817256,Tuesday,503,728,242,6.079999804496769,3405,8135
55-64,Male,97.92901487099704,1.719186809817256,Tuesday,274,728,242,6.079999804496769,3405,8135
65+,Male,97.92901487099704,1.719186809817256,Tuesday,501,728,242,6.079999804496769,3405,8135
18-24,Female,97.92901487099704,1.719186809817256,Tuesday,429,728,242,6.079999804496769,3405,8135
45-54,Female,97.92901487099704,1.719186809817256,Tuesday,425,728,242,6.079999804496769,3405,8135
18-24,Male,97.92901487099704,1.719186809817256,Tuesday,441,728,242,6.079999804496769,3405,8135
45-54,Female,97.92901487099704,1.719186809817256,Tuesday,419,728,242,6.079999804496769,3405,8135
18-24,Male,97.92901487099704,1.719186809817256,Tuesday,366,728,242,6.079999804496769,3405,8135
55-64,Male,97.92901487099704,1.719186809817256,Tuesday,514,728,242,6.079999804496769,3405,8135
18-24,Female,97.92901487099704,1.719186809817256,Tuesday,338,728,242,6.079999804496769,3405,8135
18-24,Female,97.92901487099704,1.719186809817256,Tuesday,458,728,242,6.079999804496769,3405,8135
25-34,Female,49.0922657308354,1.4856690863194275,Tuesday,327,1440,0,0.0,1496,0
25-34,Male,49.0922657308354,1.4856690863194275,Tuesday,750,1440,0,0.0,1496,0
45-54,Female,49.0922657308354,1.4856690863194275,Tuesday,503,1440,0,0.0,1496,0
45-54,Male,49.0922657308354,1.4856690863194275,Tuesday,274,1440,0,0.0,1496,0
18-24,Male,49.0922657308354,1.4856690863194275,Tuesday,501,1440,0,0.0,1496,0
45-54,Male,49.0922657308354,1.4856690863194275,Tuesday,429,1440,0,0.0,1496,0
